article,label
Freddie Mercury,NP
Thomas Müller,NP
Lionel Messi,NP
Cillian Murphy,NP
Vereinigtes Königreich,P
Liste der Großstädte in Deutschland,NP
Babylon Berlin,NP
Sylvester Stallone,NP
Zendaya,NP
Lidl,NP
Niederlande,P
Italien,P
Peter Maffay,NP
Kevin Kühnert,P
Tom Cruise,NP
Polen,P
Alexei Anatoljewitsch Nawalny,P
Michael Jackson,NP
Mogelpower,NP
Marie-Agnes Strack-Zimmermann,P
Anke Engelke,NP
Jürgen Klopp,NP
Liste der Kfz-Kennzeichen in Deutschland,NP
Nordrhein-Westfalen,P
Volksrepublik China,P
Grey’s Anatomy,NP
Hans Zimmer,NP
Linkin Park,NP
Asperger-Syndrom,NP
Gazastreifen,P
Joshua Kimmich,NP
Oskar Lafontaine,P
Hape Kerkeling,NP
Joe Biden,P
Heidi Klum,NP
Australien,P
Syrien,P
Boris Pistorius,P
Nichtbinäre Geschlechtsidentität,NP
Manuel Neuer,NP
Jeffrey Dahmer,NP
The Zone of Interest (Film),NP
Republik Moldau,P
House of the Dragon,NP
Sophia Thomalla,NP
Victoria (Vereinigtes Königreich),NP
Markus Lanz,NP
Clint Eastwood,NP
Terroranschläge am 11. September 2001,P
Baschar al-Assad,P
Liste der Bundesstaaten der Vereinigten Staaten,P
Griechisches Alphabet,NP
Ryan Gosling,NP
Südwestrundfunk,NP
Ayliva,NP
München,P
Albanien,P
Star Wars,NP
Barbie (Film),NP
Sandra Bullock,NP
Klaus Kinski,NP
Kroatien,P
Indien,P
Jimmy Carter,P
Alan Rickman,NP
Amy Winehouse,NP
Bayerischer Rundfunk,NP
Lamine Yamal,NP
Chester Bennington,NP
Markus Söder,P
Europa,P
Luisa Neubauer,P
Udo Jürgens,NP
Kurt Krömer,NP
Jeffrey Epstein,NP
Weltkarte,NP
Pfingsten,NP
Dänemark,P
Liste der Tatort-Folgen,NP
Johnny Depp,NP
Europäische Union,P
LOL: Last One Laughing,NP
Robin Williams,NP
Sowjetunion,P
Rumänien,P
Hazel Brugger,NP
Florian Wirtz,NP
Instagram,NP
Russisch-Ukrainischer Krieg,P
Katarina Witt,NP
Ted Bundy,NP
Kanada,P
Judith Rakers,NP
Charles III.,NP
Leony,NP
Julia Beautx,NP
Westjordanland,P
Liste der Staaten der Erde,P
Henry Kissinger,P
Franz Joseph I.,P
Norwegen,P
Schweden,P
Dunja Hayali,NP
Christoph Kramer,NP
Franz Beckenbauer,NP
Wolfgang Amadeus Mozart,NP
Ski Aggu,NP
Lothar Matthäus,NP
Spanien,P
Im Westen nichts Neues (2022),NP
Otto von Bismarck,P
Til Schweiger,NP
Japan,P
Atombombenabwürfe auf Hiroshima und Nagasaki,P
Johann Wolfgang von Goethe,NP
Helmut Schmidt,P
Brad Pitt,NP
Figuren aus Star Wars,NP
Libanon,P
Wikipedia,NP
Kylian Mbappé,NP
Republik China (Taiwan),P
Katja Krasavice,NP
Maximilian Krah,P
Baden-Württemberg,P
Mitgliedstaaten der Europäischen Union,P
Harry Potter,NP
Udo Lindenberg,NP
Kosovo,P
Singapur,P
Malta,P
Dwayne Johnson,NP
Slowenien,P
Terence Hill,NP
Figuren aus dem Marvel-Universum,NP
Jens Knossalla,NP
Timothée Chalamet,NP
Herbert Grönemeyer,NP
Lisa Eckhart,NP
Liechtenstein,P
Nosferatu-Spinne,NP
Belgien,P
New York City,NP
Ludwig XIV.,P
Thüringen,P
Liste voraussichtlicher Wahltermine in Deutschland,P
Kasachstan,P
Rudolf Höß,P
Die Discounter,NP
Alain Delon,NP
Fronleichnam,NP
Elyas M’Barek,NP
Norddeutscher Rundfunk,NP
Blake Lively,NP
Johann Sebastian Bach,NP
Bill Kaulitz,NP
Masturbation,NP
PayPal,NP
Fußball-Ligasystem in Deutschland,NP
Barbara Schöneberger,NP
Jasna Fritzi Bauer,NP
Leopard 2,P
Bushido (Rapper),NP
Fußball-Europameisterschaft 2021,NP
Loriot,NP
Dreißigjähriger Krieg,P
Romy Schneider,NP
Harry Kane,NP
Sarah Connor,NP
Graue Wölfe,P
Alfred Herrhausen,NP
Josef Stalin,P
Lady Gaga,NP
Montenegro,P
Ländervorwahlliste sortiert nach Nummern,NP
Erster Mai,P
Cher,NP
Luxemburg,P
Liste mathematischer Symbole,NP
Ausfallrate,NP
Eberhoferkrimi,NP
Bipolare Störung,NP
John F. Kennedy,P
Internationaler Frauentag,NP
Emma Watson,NP
Zionismus,P
Nicolas Cage,NP
Fentanyl,NP
Klub 27,NP
Marokko,P
Scharlach,NP
Nuklearkatastrophe von Tschernobyl,NP
Bundestagswahl 2021,P
Heiliges Römisches Reich,P
Fritz Wepper,NP
Fast & Furious (Filmreihe),NP
Kevin Costner,NP
Volt Deutschland,P
Brandenburg,P
Bridgerton,NP
Milli Vanilli,NP
Finnland,P
Whitney Houston,NP
George Michael,NP
Everything Everywhere All at Once,NP
Tschechien,P
Mark Forster,NP
Mirco Nontschew,NP
Narzissmus,NP
Jason Statham,NP
Vietnamkrieg,P
Vulva,NP
Julia Roberts,NP
Rudi Völler,NP
Frankfurt am Main,P
Ryan Reynolds,NP
Jennifer Lawrence,NP
Wilhelm II. (Deutsches Reich),P
BDSM,NP
Deutsche Demokratische Republik,P
G,NP
Miley Cyrus,NP
Quentin Tarantino,NP
ISO-3166-1-Kodierliste,NP
Heath Ledger,NP
Island,P
Maggie Smith,NP
Baby-Boomer,NP
Konrad Adenauer,P
"Diana, Princess of Wales",NP
Bündnis Sahra Wagenknecht,P
Fußball-Weltmeisterschaft 2022,NP
Liam Neeson,NP
Anatomie eines Falls,NP
Joko Winterscheidt,NP
Fuerza-Aérea-Uruguaya-Flug 571,NP
Eiffelturm,NP
Tom Kaulitz,NP
Saltburn (Film),NP
"Margaret, Countess of Snowdon",NP
Jakobsweg,NP
Yvonne Catterfeld,NP
Torsten Sträter,NP
Deutsche Nationalhymne,P
Bundesstaat der Vereinigten Staaten,P
Ruby O. Fee,NP
David Beckham,NP
Klaus Barkowsky,NP
BMW E90,NP
Bob Marley,NP
Bud Spencer,NP
Michelle (Sängerin),NP
Liste der 500 reichsten Deutschen,NP
Amira Pocher,NP
Null,NP
Indonesien,P
Martin Luther,NP
Aserbaidschan,P
Lukas Podolski,NP
Die Rosenheim-Cops,NP
Bitcoin,NP
Sagrada Família,NP
Elmar Wepper,NP
Death in Paradise,NP
Donau,NP
Falco,NP
Liste der Staaten Europas,P
Willy Brandt,P
Adobe PDF,NP
Werner Heisenberg,NP
Ralf Schumacher,NP
Christoph Daum,NP
The Last of Us (Fernsehserie),NP
Rote Armee Fraktion,P
Niedersachsen,P
Otto Waalkes,NP
The Blacklist,NP
Borderline-Persönlichkeitsstörung,NP
Florian David Fitz,NP
Killers of the Flower Moon,NP
Peaky Blinders – Gangs of Birmingham,NP
Kfz-Kennzeichen (Türkei),NP
Sido,NP
Bayer 04 Leverkusen,NP
Dunning-Kruger-Effekt,NP
Der Schwarm,NP
The Beatles,NP
Saudi-Arabien,P
Marvel Cinematic Universe,NP
Frida Kahlo,NP
Marianne Bachmeier,NP
ABBA,NP
Elton (Moderator),NP
Robert De Niro,NP
Emilio Sakraya,NP
Madeira,NP
Emily Blunt,NP
Dieter Bohlen,NP
Deniz Undav,NP
Harrison Ford,NP
Poor Things,NP
Mike Tyson,NP
Slowakei,P
Kalifat,P
Constantin Schreiber,NP
Harry Styles,NP
Karl Lauterbach,P
Ägypten,P
The Walking Dead (Fernsehserie),NP
Hessen,P
Borussia Dortmund,NP
Nordkorea,P
Christoph Waltz,NP
Zeugen Jehovas,NP
Pansexualität,NP
Order of the British Empire,NP
Gaius Iulius Caesar,P
Oliver Pocher,NP
Caren Miosga,NP
Römisches Reich,P
Laura Wontorra,NP
Malaysia-Airlines-Flug 370,NP
Sven Martinek,NP
Osmanisches Reich,P
Afghanistan,P
Tino Chrupalla,P
Pablo Escobar,NP
Künstliche Intelligenz,NP
Stellantis,NP
Ungarn,P
Woke,P
Westdeutscher Rundfunk Köln,NP
Karoline Herfurth,NP
Shannen Doherty,NP
Interstellar,NP
Leave the World Behind (Film),NP
Wolodymyr Selenskyj,P
XXX,NP
Reinhold Messner,NP
VW Golf VII,NP
Scarlett Johansson,NP
Jan Böhmermann,NP
Jan Josef Liefers,NP
Shameless (US-amerikanische Fernsehserie),NP
Henry Cavill,NP
Sean Connery,NP
Céline Dion,NP
Marilyn Monroe,NP
Jesiden,NP
Eurofighter Typhoon,P
Rihanna,NP
Dune,NP
Sansibar,P
Neuseeland,P
Madonna (Künstlerin),NP
Weimarer Republik,P
Emma Stone,NP
Joseph Goebbels,P
Anne Hathaway,NP
Simone Thomalla,NP
Super Bowl,NP
Tom Hanks,NP
Nathan Fillion,NP
Jake Gyllenhaal,NP
Nicole Kidman,NP
Tahnee,NP
Leipzig,P
Autismus,NP
Nora Tschirner,NP
Frederick Lau,NP
Louis Klamroth,NP
Ina Müller,NP
Liste der ältesten Menschen,NP
Schäuble,P
Karl der Große,P
Billie Eilish,NP
Kamrad,NP
Liste der Länder nach Bruttoinlandsprodukt,P
Rhein,NP
Der Herr der Ringe: Die Ringe der Macht,NP
7 vs. Wild,NP
Omid Nouripour,P
Wärmepumpe,NP
Vaginalverkehr,NP
YouPorn,NP
Michael Jordan,NP
Kaufland,NP
Olympia 2024,NP
Mount Everest,NP
Hermann Göring,P
Nikola Tesla,NP
Jason Momoa,NP
Thomas Gottschalk,NP
Holocaust,P
Dresden,P
Maria Furtwängler,NP
Liste der Disney-Filme,NP
Jugoslawien,P
Pedro Pascal,NP
Griselda Blanco,NP
Josef Fritzl,NP
Erich Kästner,NP
James Bond 007: Keine Zeit zu sterben,NP
Reinhard Mey,NP
Gerhard Schröder,P
Irland,P
Felix Lobrecht,NP
Ludwig van Beethoven,NP
Katharina Thalbach,NP
Günther Jauch,NP
Bernard Arnault,NP
Jenna Ortega,NP
Böhse Onkelz,NP
Mauritius,P
Stranger Things,NP
Weibliche Ejakulation,NP
Figuren der Harry-Potter-Romane,NP
Emmanuel Macron,P
Natascha Kampusch,NP
Köln,P
Klaas Heufer-Umlauf,NP
Wincent Weiss,NP
The Kelly Family,NP
Jennifer Lopez,NP
Alexander Bommes,NP
Macaulay Culkin,NP
Südafrika,P
Hochzeitstag,NP
Serbien,P
Mercedes-Benz Baureihe 205,NP
Philipp Amthor,P
Sean Combs,NP
Nürnberg,P
Olaf Schubert,NP
Lisa Marie Presley,NP
Tuberkulose,NP
Klaus Otto Nagorsnik,NP
Bundesagentur für Arbeit,P
Portugal,P
Nordmazedonien,P
Lisa Maria Potthoff,NP
Barack Obama,P
Bosnien und Herzegowina,P
Brendan Fraser,NP
Lars Eidinger,NP
Airbus-A320-Familie,NP
Angelina Jolie,NP
Tupac Shakur,NP
Das Boot (Film),NP
Halloween,NP
Griechenland,P
Iris Berben,NP
Assassin’s Creed,NP
David Bowie,NP
Grönland,P
Cora Schumacher,NP
Natalie Portman,NP
Joaquin Phoenix,NP
Frank-Walter Steinmeier,P
Paris,NP
The Boys (Fernsehserie),NP
Republik Zypern,P
Gil Ofarim,NP
Fallout (Fernsehserie),NP
Denzel Washington,NP
The Big Bang Theory,NP
Lobotomie,NP
Alexander der Große,P
BMW 3er,NP
Im Westen nichts Neues,NP
Präsident der Vereinigten Staaten,P
Giovanni Zarrella,NP
Anne Frank,NP
Lockheed Martin F-35,P
Litauen,P
Stephen Hawking,NP
Fußball-Bundesliga,NP
"Catherine, Princess of Wales",NP
Rheinland-Pfalz,P
Hisbollah,P
Rothschild (Familie),NP
Mercedes-Benz E-Klasse,NP
The Mandalorian,NP
Keira Knightley,NP
Miroslav Klose,NP
Dexter (Fernsehserie),NP
Andrew Tate,NP
Max Verstappen,NP
Anna Ermakova,NP
Bundeswehr,P
Christopher Nolan,NP
IKEA,NP
Analverkehr,NP
Mark Wahlberg,NP
Boris Becker,NP
Adele (Sängerin),NP
Bodensee,NP
Schleswig-Holstein,P
Selena Gomez,NP
Dua Lipa,NP
Bündnis 90/Die Grünen,P
Heinrich VIII. (England),P
Bastian Pastewka,NP
Leroy Sané,NP
Niclas Füllkrug,NP
Vietnam,P
Armenien,P
Breaking Bad,NP
Weltwunder,NP
Lesotho,P
Liam Payne,NP
Schloss Neuschwanstein,NP
Martina Hill,NP
Julian Reichelt,NP
Georg III. (Vereinigtes Königreich),P
Mercedes-Benz C-Klasse,NP
Julia-Niharika Sen,NP
Matthew Perry (Schauspieler),NP
Jessy Wellmer,NP
Jennifer Aniston,NP
Dm-drogerie markt,NP
XVideos,NP
Das Lied der Deutschen,P
Ludwig II. (Bayern),P
Patrick Swayze,NP
Boeing 737,NP
Der Herr der Ringe (Filmtrilogie),NP
Vampire Diaries,NP
Zlatan Ibrahimović,NP
Brasilien,P
Cate Blanchett,NP
BMW E46,NP
Sachsen-Anhalt,P
Penis des Menschen,NP
Tokio Hotel,NP
Gaslighting,NP
Kida Khodr Ramadan,NP
Muhammad Ali,NP
Heinrich Himmler,P
Belarus,P
Howard Carpendale,NP
Sozialdemokratische Partei Deutschlands,P
Olympische Sommerspiele 2024,NP
BlackRock,NP
Götz George,NP
Steffi Graf,NP
Bauhaus,NP
Oxycodon,NP
Julian Assange,P
Depeche Mode,NP
Cupra,NP
Nigeria,P
Angriff auf Pearl Harbor,P
Priscilla Presley,NP
Emily Armstrong,NP
BMW 5er,NP
O. J. Simpson,NP
Juli Zeh,NP
Marie Curie,NP
Saturn (Planet),NP
Methamphetamin,NP
Kölner Dom,NP
Paul Walker,NP
John Lennon,NP
Christoph Kolumbus,NP
Claudia Obert,NP
Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung,NP
Kanarische Inseln,NP
One Piece,NP
Nutria,NP
Swastika,P
Caspar David Friedrich,NP
Saskia Esken,P
Fußball-Weltmeisterschaft 2030,NP
Nord bei Nordwest,NP
Katrin Göring-Eckardt,P
Heike Makatsch,NP
Jordanien,P
Schizophrenie,NP
Kate Winslet,NP
Val Kilmer,NP
Ayrton Senna,NP
Stuttgart,P
Lance Reddick,NP
Liste der Groß- und Mittelstädte in Deutschland,NP
Elton John,NP
Deutsches Kaiserreich,P
Anna Maria Mühe,NP
Mona Lisa,NP
Jamie Lee Curtis,NP
İlkay Gündoğan,NP
Erling Haaland,NP
Immanuel Kant,NP
Damian Hardung,NP
Charlie Sheen,NP
Robbie Williams,NP
Nutella-Bande,NP
Robert Downey Jr.,NP
Kurt Cobain,NP
Dieter Hallervorden,NP
Matt Damon,NP
Novak Đoković,NP
3 Body Problem,NP
Gladiator (Film),NP
Pablo Picasso,NP
XXx – Triple X,NP
Frank Farian,NP
BMW F30,NP
Bulgarien,P
Peter Fox,NP
Ruth Maria Kubitschek,NP
Tedros Teclebrhan,NP
Hannover,P
Queer,NP
Top Gun: Maverick,NP
Daniel Radcliffe,NP
DFB-Pokal,NP
Tim Lobinger,NP
Sachsen,P
Sophie von der Tann,NP
Vereinte Nationen,P
Brigitte Macron,P
Bruce Lee,NP
Mats Hummels,NP
Figuren in Tolkiens Welt,NP
Erich Honecker,P
Englische Sprache,NP
Enie van de Meiklokjes,NP
Amazon,NP
Travis Kelce,NP
Mark Keller (Schauspieler),NP
Hansi Flick,NP
Benjamin von Stuckrad-Barre,NP
Loredana (Rapperin),NP
Robert Geiss,NP
Nilam Farooq,NP
Susanne Daubner,NP
Josef Mengele,P
Richard David Precht,NP
BMW G30,NP
Palina Rojinski,NP
Burrata,NP
Metallica,NP
Sezessionskrieg,P
Audrey Hepburn,NP
Megan Fox,NP
Michael Ballack,NP
Oliver Kahn,NP
Lars Klingbeil,P
Young Sheldon,NP
Liste der Darsteller der Fernsehserie Game of Thrones,NP
Tansania,P
London,NP
Kerstin Ott,NP
Matthias Reim,NP
Helmut Kohl,P
Hubert ohne Staller,NP
Schottland,P
Preußen,P
H- und P-Sätze,NP
LeBron James,NP
Max Mutzke,NP
Edeka,NP
Valentinstag,NP
Kai Pflaume,NP
Michael J. Fox,NP
Donald Sutherland,NP
Benjamin Netanjahu,P
BMW G20,NP
Josefine Preuß,NP
Estland,P
Ferdinand von Schirach,NP
Biyon Kattilathu,NP
Charles Manson,NP
OSI-Modell,NP
Karl Lagerfeld,NP
Recep Tayyip Erdoğan,P
Cunnilingus,NP
Sri Lanka,P
Martin Luther King,P
Dienstgrade der Streitkräfte der Vereinigten Staaten,P
Agnostizismus,NP
Cem Özdemir,P
Der Herr der Ringe,NP
Bradley Cooper,NP
Franca Lehfeldt,NP
Freiheitsstatue,NP
Let’s Dance (Fernsehsendung),NP
Phantastische Tierwesen (Filmreihe),NP
Christian Oliver,NP
Steven Spielberg,NP
Vincent van Gogh,NP
Joey Kelly,NP
Cuckold,NP
Jodie Foster,NP
Gerard Butler,NP
Florian Silbereisen,NP
Mai Thi Nguyen-Kim,NP
Islam,NP
"Gute Zeiten, schlechte Zeiten",NP
Banksy,NP
Leo Neugebauer,NP
Luke Mockridge,NP
Sandro Wagner,NP
Oskar Schindler,P
COVID-19-Pandemie,NP
Onlyfans,NP
Leonardo da Vinci,NP
Ben Affleck,NP
Ballon d’Or,NP
Winston Churchill,P
Liste der Kfz-Nationalitätszeichen,NP
Mensch,NP
Suits (Fernsehserie),NP
Lufthansa,NP
Indiana Jones,NP
Ana de Armas,NP
Demokratische Republik Kongo,P
Israelisch-Palästinensischer Konflikt,P
Ariana Grande,NP
The Witcher (Fernsehserie),NP
Twitter,NP
Mecklenburg-Vorpommern,P
FC Schalke 04,NP
Buchstabiertafel,NP
Zeitzone,NP
Mesut Özil,NP
Jutta Speidel,NP
Methylphenidat,NP
Markus Krall,NP
Ronan Keating,NP
Wednesday (Fernsehserie),NP
Beyoncé,NP
Fibonacci-Folge,NP
Rio Reiser,NP
Mel Gibson,NP
Michel Friedman,NP
Brandenburger Tor,NP
Greta Thunberg,P
Sinead O'Connor,NP
Collien Ulmen-Fernandes,NP
Mads Mikkelsen,NP
Pink Floyd,NP
"Philip, Duke of Edinburgh",NP
Der Schwarm (Fernsehserie),NP
Fritz Honka,NP
Friedrich Schiller,NP
Marianne Rosenberg,NP
Evelyn Hamann,NP
Conor McGregor,NP
Wien,P
Oliver Masucci,NP
Mark Benecke,NP
Margot Friedländer,NP
Düsseldorf,P
Burj Khalifa,NP
Axolotl,NP
Mercedes-Benz Baureihe 204,NP
Emilia Clarke,NP
Daniel Brühl,NP
Elisabeth I.,P
Michael Douglas,NP
Adidas,NP
BRICS,P
Kelly Reilly,NP
Rudolf Heß,P
Dune: Part Two,NP
Andorra,P
Sudan,P
Bertolt Brecht,NP
Tommi Schmitt,NP
Ken Miles,NP
Sebastian Hoeneß,NP
H. P. Baxxter,NP
Daniel Craig,NP
Hongkong,P
Edin Terzić,NP
Beatrice Egli,NP
Valerie Niehaus,NP
Ralph Fiennes,NP
UEFA Champions League 2023/24,NP
Antisemitismus,P
Chris Hemsworth,NP
Anya Taylor-Joy,NP
Bundesregierung (Deutschland),P
Sigmund Freud,NP
Klitoris,NP
Joanne K. Rowling,NP
René Benko,NP
Amber Heard,NP
Titanic (1997),NP
Stiff-Person-Syndrom,NP
Zypern,P
Katja Riemann,NP
Downton Abbey,NP
Südkorea,P
Pakistan,P
Dakota Johnson,NP
Freimaurerei,NP
Mord mit Aussicht,NP
Osteopathie (Alternativmedizin),NP
Deutsche Bahn,NP
Multiple Sklerose,NP
Katrin Bauerfeind,NP
IPad,NP
Guardians of the Galaxy Vol. 3,NP
The Good Doctor,NP
Argentinien,P
Rebecca Ferguson (Schauspielerin),NP
Kristen Stewart,NP
Königsberg (Preußen),P
Uli Hoeneß,NP
Snoop Dogg,NP
Philippinen,P
Mimi Fiedler,NP
Sebastian Lege,NP
Chorea Huntington,NP
Pierce Brosnan,NP
Lettland,P
Erdbeben im Indischen Ozean 2004,NP
Mission: Impossible (Filmreihe),NP
Indiana Jones und das Rad des Schicksals,NP
Sebastian Ströbel,NP
Schlacht bei Waterloo,P
Liste der Nationalflaggen,P
Korsika,P
Amanda Lear,NP
Maxton Hall – Die Welt zwischen uns,NP
Marder,NP
Die Linke,P
Fußball-Europameisterschaft 2024/Qualifikation,NP
Südtirol,P
Kai Havertz,NP
Schauspieler,NP
Index der menschlichen Entwicklung,NP
Karl-Theodor zu Guttenberg,P
Kapverdische Inseln,P
Navy CIS,NP
Liste der erfolgreichsten Filme nach Einspielergebnis,NP
Vincent Kompany,NP
Claus Schenk Graf von Stauffenberg,P
Scientology,NP
Pink (Musikerin),NP
Prince,NP
Amsel,NP
Adolf Eichmann,P
Ray Stevenson,NP
Mustafa Kemal Atatürk,P
Queen (Band),NP
Das Traumschiff,NP
Namibia,P
Chaturbate,NP
4 Blocks,NP
Deutscher Bundestag,P
Gal Gadot,NP
Mercedes-Benz Baureihe 213,NP
Tag der Deutschen Einheit,P
Maslowsche Bedürfnishierarchie,NP
Drei Haselnüsse für Aschenbrödel,NP
MILF (Ausdruck),NP
Marco Reus,NP
Palästina (Region),P
Christoph Maria Herbst,NP
Waschbär,NP
